title,video id,youtube url,filename,tags
Nowercise Bands Frontal Raises,JKUy1Sd-SFs,https://www.youtube.com/watch?v=JKUy1Sd-SFs,,['band']
Ab Wheel Iso,gyhdObhnxjw,https://www.youtube.com/watch?v=gyhdObhnxjw,,['Uncategorized']
Alternating Goblet Reverse Lunge With Blocked Knee,mJ1QsjZpw10,https://www.youtube.com/watch?v=mJ1QsjZpw10,,['lower body']
Adductor Mobilization,mKKPXUWDDFo,https://www.youtube.com/watch?v=mKKPXUWDDFo,,['Uncategorized']
Ab Wheel Iso,oYanDivdClU,https://www.youtube.com/watch?v=oYanDivdClU,,['Uncategorized']
Ab Wheel Rollout,qFp5JzdquAI,https://www.youtube.com/watch?v=qFp5JzdquAI,,['Uncategorized']
Alternating Dumbell Split Jump,s8jLKMCYriM,https://www.youtube.com/watch?v=s8jLKMCYriM,,['cardio']
Nowercise Club Welcome Video,ufM9ohj1P_M,https://www.youtube.com/watch?v=ufM9ohj1P_M,,['Uncategorized']
Nowercise Bands Static Lunge,yWBiy_88OOk,https://www.youtube.com/watch?v=yWBiy_88OOk,,"['band', 'lower body']"
Nowercise Bands Bicep Curl,zG012FFdTTM,https://www.youtube.com/watch?v=zG012FFdTTM,,"['upper body', 'band']"
App Explainer For Reg_210225,zkMNhKFojv0,https://www.youtube.com/watch?v=zkMNhKFojv0,,['Uncategorized']
90/90 Wall Balloon-Breathing,fwOUp7Jku0w,https://www.youtube.com/watch?v=fwOUp7Jku0w,,['Uncategorized']
Nowercise Club Gentle Session 1,LssQd26hyu4,https://www.youtube.com/watch?v=LssQd26hyu4,,['gentle']
Ab Wheel Rollout,R3jbna-ytkk,https://www.youtube.com/watch?v=R3jbna-ytkk,,['Uncategorized']
Alternating Barbell Split Jump,RtkM_vVZh-A,https://www.youtube.com/watch?v=RtkM_vVZh-A,,['cardio']
Nowercise Club Intro For Gentle Session,VrS2VlYuLHE,https://www.youtube.com/watch?v=VrS2VlYuLHE,,['gentle']
Alternating Lateral Lunge Walk,XoKx8eQMElQ,https://www.youtube.com/watch?v=XoKx8eQMElQ,,['lower body']
Alternating Barbell Split Jump,Y9ASJT-UDNo,https://www.youtube.com/watch?v=Y9ASJT-UDNo,,['cardio']
Adductor Mobilization,_LFqmZHQL2g,https://www.youtube.com/watch?v=_LFqmZHQL2g,,['Uncategorized']
Alternating Dumbbell Bench Press,_zbZ-l_Mat8,https://www.youtube.com/watch?v=_zbZ-l_Mat8,,['upper body']
Alternating Bodyweight Split Jump,a91-Vu1u_dI,https://www.youtube.com/watch?v=a91-Vu1u_dI,,['cardio']
