title,video id,youtube url,filename,tags,primary_movement_pattern
Dumbbell Romanian Deadlift,4Q1fbpevyug,https://www.youtube.com/watch?v=4Q1fbpevyug,,"Hinge, ['lower body']",Hinge
Feet-Elevated Pushup to Single-Arm Support,CMKmUC6QJ6s,https://www.youtube.com/watch?v=CMKmUC6QJ6s,,"Push, ['upper body'], upper body",Push
Eccentric Pull-Up,CRHxbHDMJAk,https://www.youtube.com/watch?v=CRHxbHDMJAk,,"Pull, ['upper body'], arm",Pull
Eccentric Chin-Up,DNGHZrADXKQ,https://www.youtube.com/watch?v=DNGHZrADXKQ,,['Uncategorized'],
Goblet Lateral Squat,GKbuxJEIeeo,https://www.youtube.com/watch?v=GKbuxJEIeeo,,"Squat, ['lower body']",Squat
Goblet Split Squat With Blocked Knee,HOSLM_P-5Rs,https://www.youtube.com/watch?v=HOSLM_P-5Rs,,"Squat, ['lower body']",Squat
Feet-Elevated Side Plank,Jx-ba4YDguM,https://www.youtube.com/watch?v=Jx-ba4YDguM,,"Core, ['core']",Core
Dumbbell Reverse Lunge to Romanian Deadlift,LSHRaS9UXnI,https://www.youtube.com/watch?v=LSHRaS9UXnI,,"Squat, ['lower body']",Squat
Dumbbell Reverse Lunge With Blocked Knee,MWQEv3IeByI,https://www.youtube.com/watch?v=MWQEv3IeByI,,"Squat, ['lower body']",Squat
Half-Kneeling Cable Lift,fJK7KEwxoz4,https://www.youtube.com/watch?v=fJK7KEwxoz4,,"Core, ['Uncategorized']",Core
Hanging Anti-Lateral Flexion,fKLW-UcfM9A,https://www.youtube.com/watch?v=fKLW-UcfM9A,,['Uncategorized'],
Inchworm,pIeka0plSc4,https://www.youtube.com/watch?v=pIeka0plSc4,,['Uncategorized'],
Hands-Elevated Pushup,qOR_PSePvhU,https://www.youtube.com/watch?v=qOR_PSePvhU,,"Push, ['upper body'], upper body",Push
Half Get-Up,ryl9c9h-fng,https://www.youtube.com/watch?v=ryl9c9h-fng,,['Uncategorized'],
Goblet Squat With Pulse,s4Al9zNsu78,https://www.youtube.com/watch?v=s4Al9zNsu78,,"Squat, ['lower body']",Squat
Goblet Squat to Box,sR0u2hustt8,https://www.youtube.com/watch?v=sR0u2hustt8,,"Squat, ['lower body']",Squat
