id,name,video_url,movement_type,body_focus
61,Barbell Bench Press,https://www.youtube.com/watch?v=ONjwKPYiG4w,Strength,"[""Full Body""]"
73,Barbell Bench Press From Pins,https://www.youtube.com/watch?v=sXjD8sfUGlg,Strength,"[""Full Body""]"
54,Barbell Box Squat,https://www.youtube.com/watch?v=R2By3KfMc58,Strength,"[""Full Body""]"
74,Barbell Curl,https://www.youtube.com/watch?v=m9_ToHglpjE,Strength,"[""Full Body""]"
60,Barbell Deadlift,https://www.youtube.com/watch?v=W6oP5xJHkFQ,Strength,"[""Full Body""]"
58,Barbell Floor Press,https://www.youtube.com/watch?v=JJPQIXP1EWk,Strength,"[""Full Body""]"
65,Barbell Front Squat,https://www.youtube.com/watch?v=ABg7luSIogM,Strength,"[""Full Body""]"
57,Barbell Front Squat Iso,https://www.youtube.com/watch?v=lIBNIzsWGTM,Strength,"[""Full Body""]"
69,Barbell Front Squat to Box,https://www.youtube.com/watch?v=KZXxiUAqqh8,Strength,"[""Full Body""]"
72,Barbell Glute Bridge,https://www.youtube.com/watch?v=V3gvnSlNQmk,,"[""Full Body""]"
49,Barbell Hip Thrust,https://www.youtube.com/watch?v=56Knh4AdxEI,,"[""Full Body""]"
75,Barbell Hip Thrust,https://www.youtube.com/watch?v=56Knh4AdxEI,,"[""Full Body""]"
180,Barbell Overhead Shrug,https://www.youtube.com/watch?v=RsAYW2o36CA,strength,"[""full-body""]"
420,Barbell Push Press,https://www.youtube.com/watch?v=g4jjxrpgLHM,Strength,"[""Full Body""]"
169,Barbell Push Press,https://www.youtube.com/watch?v=g4jjxrpgLHM,strength,"[""upper-body""]"
370,Barbell Push Press,https://www.youtube.com/watch?v=g4jjxrpgLHM,Strength,"[""Full Body""]"
170,Barbell Reverse Lunge,https://www.youtube.com/watch?v=iHLQoQBcvVE,strength,"[""lower-body""]"
381,Barbell Reverse Lunge,https://www.youtube.com/watch?v=iHLQoQBcvVE,,"[""Full Body""]"
431,Barbell Reverse Lunge,https://www.youtube.com/watch?v=iHLQoQBcvVE,,"[""Full Body""]"
172,Barbell Reverse Lunge With a Front Squat Grip,https://www.youtube.com/watch?v=5m9QxcThhxE,strength,"[""lower-body""]"
